ten,thoi gian,so nguoi,do kho,nguyen lieu,cach che bien
Cơm nhà 1,1h,4 người,Dễ,500 g tôm | 1 vắt me | 1 bó rau dền | Cá ngừ | Dưa cải,Canh rau dền nấu tôm | Tôm rim me | Cá ngừ kho dưa cải
Mâm cơm gia đình #23,45 phút,5 người,Dễ,Nhộng tằm rang lá chanh Nhộng tằm xào tóp mỡ | Tép gạo rang | Thịt ba chỉ rang hành Thịt rang hành,"Mâm cơm nhà nghèo có nhộng tằm rang lá chanh. Công thức đây nha! | Tép gạo rang lá chanh | Thịt rang hành | Và rau muống luộc chấm mắm tỏi ớt, nước rau vắt chanh ăn rất hợp với món tép nha!"
Mì QUẢNG sườn-tôm,1 tiếng 30 phút,4 người,Dễ,"500 gr sườn non heo | 300 gr tôm tươi | 50 gr củ nén (hoặc hành củ tím) | 2 muỗng canh dầu đậu phộng (hoặc dầu ăn) | 2 muỗng canh nước màu dầu điều | 1 kg mì quảng trắng (vàng) | 150 gr đậu phộng rang vàng | Chanh , ớt xanh, hành lá | Gia vị: nước mắm, muối, hạt nêm, đường, tiêu | Rau ăn kèm: bắp chuối bào, giá, rau cải con, rau húng lũi hoặc rau thơm , xà lách | Bánh tráng gạo nướng","Sơ chế nguyên liệu - Rau các loại ngâm qua nước muối loãng rồi rửa lại nhiều lần, để ráo - Đậu phộng rang vàng lột bỏ vỏ (rang với NCKD 180*C trong 7 phút - Tôm cắt tỉa râu, chân rồi rửa sạch để ráo - Sườn non heo ngâm qua muối, giấm rồi rửa lại với nước xong trụng qua nước sôi để sạch bọt bẩn | Nấu nước dùng (nước nhưn) - Để dầu phộng vào nồi, dầu nóng cho củ nén giã dập vào phi thơm, khi củ nén thơm thì thêm dầu màu điều & tôm vào xào săn với ít hạt nêm xong múc tôm ra chén riêng - Tiếp đến để sườn vào nồi vừa xào tôm rồi đảo đều tay & để nước vào xâm xấp mặt sườn, lúc này nêm gia vị: nước mắm, hạt nêm, muối, đường xong um 10 phút cho sườn ngấm gia vị (nêm nếm theo vị nhà nhưng mặn nhiều hơn) - Sau đó thêm nước theo ý thích & nấu đến khi sườn mềm, lúc này để tôm vào cùng cho thấm | Thành phẩm Mì quảng sườn-tôm với nước nhưn rất thơm, đậm đà gia vị ăn cùng rau các loại rất ngon luôn"
Thịt Xào Mắm Ruốc,30 phút,4 người,Dễ,200 gam thịt ba rọi | 2 tbsp mắm ruốc | 2 tbsp sả băm | 1 tbsp tỏi băm | 1 trái ớt sừng đỏ | 1/2 trái thơm (dùng 1 phần ép lấy 3 tbsp nước) | 2 trái dưa leo | 2 tbsp đường | 1/2 tsp hạt nêm | 1/4 tsp bột ngọt | 4 tbsp nước lọc | Rau sống các loại…,"Thịt ba rọi xắt vuông cỡ 2 lóng tay, luộc sơ qua. Sau đó, cho thịt vào chảo nóng để áp chảo cho đến khi hơi vàng sém cạnh. | Lần lượt cho sả băm, tỏi băm vào phi cùng thịt cho thơm. Sau đó cho 2tbsp mắm ruốc vào cùng. | Cho khoảng 4tbsp nước lọc vào chảo, đảo đều cho mắm ruốc loãng ra và bao lấy thịt. Nêm gia vị: 2tbsp đường + 1/2tsp hạt nêm + 1/4tsp bột ngọt + 3tbsp nước cốt trái thơm. Đảo thật đều và để lửa nhỏ cho cạn bớt nước. Khi mắm đã sánh lại, ta cho thêm 1/2tbsp ớt băm vào, đảo đều rồi tắt bếp. | Xắt thơm, dưa leo, ớt ra. Dùng một ít trang trí lên dĩa. Phần còn lại sẽ kèm với rau sống các loại để ăn kèm với mắm. Món này ăn cùng cơm nóng rất ngon."
Tôm rang sả ớt,15 phút,2 người,Dễ,"Tôm tươi | Sả, ớt, tỏi, gia vị","Tôm rửa sạch với 1 ít muối, lấy chỉ đất cắt râu, chân để ráo rồi mình đem ướp với gì vị: 1/3 thìa muối, 1/3 thìa hạt nêm, 1/3 thìa đường, bột nghệ, 1 ít tương ớt, 1 thìa dầu ướp 3 tép tỏi đập dập, 2 tép sả đập dập cắt khúc. Ớt cay. Ướp khoảng 5-10P. | Bắc chảo lên cho dầu nóng thì cho tôm vào đảo đều tay, thêm tí nước nấu khoảng 5-10 phút thì tắt bếp. Nêm nếm lại vừa ăn. Một món ăn vừa đơn giản, bắt mắt lại vừa ngon nữa 🥰 chúc cả nhà thành công ạ 🥰"
Cá Basa chiên xù giòn rụm,30 phút,2 người,Dễ,200 g cá basa phi lê làm sẵn | 1 quả trứng gà | 1 gói bột chiên giòn | 1 gói bột chiên xù | Gia vị | 100 ml dầu ăn | Muối,"Cắt phi lê cá basa thành khối nhỏ vừa ăn và ướp với 1 muỗng cà phê muối (tầm 15 phút). Tip: pha chút rượu/giấm khi rửa cá sẽ giúp loại bỏ bớt mùi tanh. Rửa sạch lại và để ráo có thể dùng khăn giấy thấm khô bề mặt cá. | Đầu tiên, đánh tan quả trứng. Sau đó, nhúng cá đã sơ chế lần lượt qua bột chiên giòn, trứng và bột chiên xù sao cho bột áo đều xung quanh cá | Bắc chảo dầu lên bếp, khi dầu nóng già thì cho phi lê cá đã tẩm bột vào chiên tới khi vàng đều rồi vớt ra. Để lên giấy thấm dầu để thấm bớt dầu thừa | Có thể chấm kèm sốt mayo và tương ớt để tăng hương vị cho món ăn"
Lòng heo và cật heo luộc,1 tiếng,2-4 người,Dễ,1 bộ lòng heo | 1 cật heo | 2 củ hành tím | 2 muỗng canh nước mắm | 1 L nước lọc,"Sát muối vào cật heo và lòng heo để rửa cho sạch. Rồi cho vào nồi, đổ ngập nước, cho nước mắm và hành tím đã bóc vỏ vào. | Luộc cật 15 phút. Luộc lòng 60 phút, cho tới khi hết dai luôn. Lấy ra cắt miếng nhỏ vừa ăn. | Chấm nước mắm ngon!"
🌱 Champignons de Paris grillés - Nấm Mỡ Nướng Lá Thơm Provence (Vegan),Nướng 35 phút 180°C,3 người,Dễ,500 gr nấm mỡ nâu / trắng | Dầu olive | Lá thơm provence | Muối 🧂,"Nấm mỡ lột vỏ lụa ngâm nước dấm loãng 5 phút rồi xả lại nước sạch để ráo, trải lên khay nướng rưới dầu olive, lá thơm và ít muối | Cho vào lò nướng đã làm nóng sẵn ở 185°C nướng 35 phút, khi đươc 25 phút đảo đều 1 lần rồi nướng tiếp 10 phút đến khi nước cạn nấm khô ráo là xong (trong khi nướng nấm sẽ ra nước nhiều, cứ nướng đến khi nước bay hơi hết)"
Lẩu gà nấu nấm,60 phút,4 người,Dễ,1 con gà | 1 phần nấm nấu lẩu | Rễ ngò | Hành tím | Đầu hành | Kỷ tử | Táo đỏ | Nấm đông cô | Rau cải cúc | Gia vị | Hạt nêm | Muối | Nước mắm | Cà rốt cắt vừa ăn,"Cắt gà vừa ăn | Cho gà và cà rốt vào nấu với nước | Cho rễ ngò, đầu hành, hành tím vào lúc nước chưa sôi | Sau khi gà chín chỉnh lửa nhỏ hầm và nêm gia vị vừa ăm | Cho nấm đông cô, kỷ tử, táo đỏ vào hầm tiếp | Khi chín tất cả thì cho nấm vào nấu rồi thêm rau và ăn thôi"
Canh tôm nấm bóng cá,30 phút,3-4 người,Dễ,"200 gram tôm nguyên vỏ | 10 _20 gram bong bóng cá rang muối | 50 gram nấm kim châm | 50 gram nấm ngọc châm | 6 _7 cái nấm đông cô tươi | 6 _7 cái nấm mỡ | 1 khúc cà rốt | 1 củ hành khô | 1 củ gừng | 1 chén rượu trắng | Hành lá , mùi ta | Gia vị cơ bản, dầu vừng","Đun 1 bát tô nước sôi, thả 1 nhánh gừng đập dập và 1 củ hành nướng. Luộc sơ qua tôm. Vớt tôm ra bóc vỏ, cứa lưng lấy chỉ bẩn. Bỏ toàn bộ vỏ và đầu tôm vào lại nồi nước, đun nhỏ lửa 10 phút. Song song đấy bắc 1 nồi nước khác, kèm 1 nhánh gừng đập dập. Nước sôi thả bong bóng cá luộc 1_2 phút, vớt ra xả nước lạnh, bóp bong bóng cùng 2 thìa rượu trắng hoặc nước chanh, rửa sạch lại với nước, thái miếng vừa ăn. | Các nguyên liệu khác sơ chế sạch, thái vừa ăn nếu cần. Hành lá, mùi ta thái khúc 2cm | Vớt bỏ vỏ tôm lấy nước. Thêm nước sôi nếu cần. Nêm gia vị cho vừa ăn như bột nêm nấm, nước mắm ngon. Cho nấm và cà rốt, bong bóng cá vào đun sôi hạ nhỏ lửa tầm 7-10 phút. Thêm tôm đun sôi. | Trước khi tắt bếp thêm vài giọt dầu vừng, hành lá, mùi ta cắt nhỏ, đảo đều tắt bếp. Thêm hạt tiêu nếu thích"
Mâm cơm đầu năm,60 phút,4 người,Dễ,Canh chua cá lóc | Tôm thịt rim | Giò thủ | Đậu hũ nhồi thịt sốt cà chua | Kho quẹt - rau luộc | Cá thu chiên sốt cà chua,Giò thủ | Canh chua cá lóc | Đậu hũ nhồi thịt sốt cà chua | Tôm thịt rim | Kho quẹt rau luộc | Cá thu chiên sốt cà chua
Cá Lăng Sông Kho Tiêu,30 phút,4-5 người,Dễ,500 gam Cá Lăng | 4 tbsp đường cát | 1 tsp nước màu dừa | 1 tsp hạt nêm | 1 tbsp dầu hào | 1 tsp hắc xì dầu | 1/4 tsp bột ngọt | 1 tbsp ớt băm nhuyễn | 1 tsp tiêu xay | 2 tbsp mỡ nước (hoặc dầu ăn) | 1 tbsp hành tím + tỏi băm nhuyễn | 2 tbsp hành lá xắt nhỏ,"Cá Lăng làm sạch, cắt khúc khoảng 2-3cm. Ướp vào cá: 4tbsp đường + 1/2tsp nước màu dừa + 1tsp hạt nêm + 1tbsp dầu hào + 1tsp hắc xì dầu + 1/4tsp bột ngọt + 1/2tbsp ớt băm nhuyễn. Trộn thật đều và ướp khoảng 10 phút. | Sau đó, ta cho tiếp vào cá: 1tbsp gốc hành xắt nhỏ + 1/4tsp tiêu xay + 5tbsp nước mắm ngon + 1tbsp mỡ nước (hoặc dầu ăn). Trộn đều và để ướp thêm khoảng 5 phút nữa. | Bắc chảo lên bếp cho nóng. Cho vào chảo 1tbsp mỡ nước (hoặc dầu ăn). Sau đó, cho 1tbsp hành tím và tỏi băm nhuyễn vào phi. Khi hành tỏi đã thơm thì ta cho số cá đã ướp vào chảo để kho. Khi nước trong chảo sôi lên, ta lật từng miếng cá lại để cá chín cả hai bên và thấm gia vị. | Hạ lửa nhỏ để nước sốt sôi liu riu. Nếu nước trong chảo cạn, chúng ta có thể thêm 1-2tbsp nước lọc vào để tránh chảo cá bị cạn khét. Kho độ 10-15 phút, ta rắc thêm 1/2tsp tiêu xay và 1/2tbsp ớt xay (tuỳ vào sở thích ăn cay mà cho nhiều hay ít ớt) vào chảo cá. Điều chỉnh gia vị lần cuối cho vừa với khẩu vị gia đình và lật các khoanh cá lại lần nữa. | Sau cùng, ta rắc vào chảo cá 1/2tbsp hành lá xắt nhỏ, trộn sơ rồi tắt bếp. Món Cá Lăng Kho Tiêu này, chúng ta chấm rau sống, rau luộc và ăn với cơm nóng sẽ rất ngon."
Bún bò giò heo,60phút,4 người,Dễ,"1 cái giò heo | 500 g nạm gân | 1 kg bún sợi lớn | Rau ăn kèm: rau muống bào , bắp chuối , rau thơm | Rau nêm : hành củ trắng, rau răm , ngò gai , hành lá | Gia vị: ruốc huế, hành trắng , hành tím , tỏi, sả, ớt | Gia vị nêm: đường phèn, nước mắm, muối, hạt nêm","Sơ chế nguyên liệu. Rửa sạch thịt heo và bò, cắt miếng vừa ăn, trụng nước sôi. Rửa kỹ lại để nước luộc trong và không có nghe mùi. | Xếp bò vào nồi áp suất kèm gừng sả của hành. Hầm 15phút. Trong lúc đó mình hầm giò heo cùng với củ cải trắng và sả cây để lấy nước ngọt. Giò heo mình không thích hầm nồi áp suất vì mình khi ăn giò heo vẫn còn độ giòn. | Trong khi chờ thịt mềm mình băm hàng tỏi và sả phi vàng cùng với dầu điều để tạo màu hấp dẫn cho nước dùng. Nguyên liệu để tạo hương vị đặt trưng vẫn là ngò gai và rau răm cắt nhuyễn với hành lá để xíu nêm vào tô bún nha | Nêm nước dùng: Ruốc huế, hạt nêm, đường phèn, nước mắm, muối, sả hành phi vàng, ớt sate. Nếu nêm thêm 1 gói gia vị bún bò nữa thì đậm vị, không có cũng không sao. Vẫn ngon nhờ ruốc huế và thật nhiều sả cây trong nước lèo á Giờ là múc thành phẩm ra tô và thưởng thức thôi Bún bò ăn kèm bún, rau sống rau muống bào, bắp chuối. Có thể thêm toping là chả cây, chả huế.."
Cháo Hến Sườn Và Nấm Rơm,1 tiếng 30phút,4 người,Dễ,"500 gr sườn non | 200 gr nấm rơm | 300 gr thịt hến | Nửa lon gạo | Hành lá,ngò rí | Hạt nêm,bột ngọt,muối,tiêu | Hành phi,hành băm | Bánh quẩy","Cho chảo lên bếp cho ít dầu ăn vào chờ dầu nóng cho ít hành băm vào phi thơm rồi thịt hến vào xào nêm 1muỗng cà phê hạt nêm và xíu bột ngọt rồi đảo đều cho thấm gia vị và tắt bếp. Nấm rơm cắt gốc rồi rửa sạch để ráo,nấm nào to thì chẻ làm hải rồi xào chín với 1 muỗng cafe hạt nêm.Sườn non chặt miếng vừa ăn,rửa sạch.Cho nồi nước lên bếp nấu sôi cho sườn bò vào trụng sơ cho sườn non ra chất dơ,rửa sạch sườn non lại với nước. | Gạo vo sạch,để ráo.Cho nồi lên bếp cho ít dầu ăn vào chờ dầu nóng cho ít hành băm vào phi thơm rồi gạo vào rang sơ rồi cho khoảng 1,5- 2 lít nước vào nấu sôi cho sườn vào hầm chung thêm ít muối,hầm cho sườn mềm và cháo chín,cho 3 muỗng cà phê hạt nêm,1/3 muỗng cà phê bột ngọt vào nồi nêm nếm lại cho vừa ăn rồi tắt bếp.Cho nấm đã xào vào nồi cháo. | Múc cháo ra tô,cho sườn non,nấm rơm,hến,hành ngò cắt nhỏ,bánh quẩy cắt nhỏ và rắc thêm ít tiêu cho thơm rồi thưởng thức."
Bánh khọt mì tôm,30 phút,4 người,Dễ,2 gói mì tôm | 300 g tôm | 1 gói bột chiên giòn | 1 lon nước ngọt có ga | Mè đen | Bột nghệ | Hành lá | Gia vị,"Trụng gói mì vừa chín tới, pha bột chiên giòn theo tỉ lệ trên gói bột nhưng bớt phần nước lại, thay vào đó là 1/2 lon nước ngọt có ga loại màu trắng cho bánh được giòn hơn, thêm bột nghệ, mè đen, hạt nêm, dầu ăn và hành lá, khuấy đều | Cho dầu ăn vào khuôn, thêm mì, thêm bột đã pha rồi đặt một con tôm luộc đã bóc vỏ, bỏ chỉ lưng lên trên. Lật đều hai mặt cho vàng giòn | Gắp ra dĩa, cuốn rau sống và chấm nước mắm chua ngọt Món ngon mới lạ và hấp dẫn với mì tôm đã sẵn sàng, mời cả nhà nhé"
Nấm cuộn sauce cà,30 phút,1 người,Dễ,"2 cái Nấm đùi gà | Tương cà | 1/2 bó nấm kim châm | Bột nêm , bột mì | ...",Luộc chín nấm đùi gà lấy phân nửa nấm kim châm rửa sạch để ráo..phần nấm đùi gà lạn mỏng làm 2 vây mực rồi lạn mỏng cho nấm thành một miếng.thoa bột khô vào nấm đùi gà cho nấm kim châm vào chừa ra một đoạn râu cuộn chặt dùng tăm ghim cố định xong áo một lớp bột chiên gòn đem chiên vàng | Lót dĩa bằng sà lách cắt con mực thành từng khúc.phi thơm tỏi cho tương cà và chút nước lên nấu nêm thêm chút nước tương và đường tùy khẩu vị.nấu sệt chan lên con mực
Cơm chiên hải sản,45 phút,4 người,Dễ,"200 gram mực tươi | 200 gram tôm tươi | 100 gram đậu que | 100 gram cà rốt | 100 gram bắp hạt | 20 gram hành lá | 3 chén cơm nguội | 2 trái trứng gà ta | 2 muỗng canh hành tím băm | Dưa leo , ớt | Hạt nêm , nước mắm, nước tương, dầu ăn","Sơ chế nguyên liệu: _ Đập trứng gà vô tô cơm nguội, đeo bao tay ni lông trộn đều cơm với trứng. Bọc màng bọc thực phẩm lại cho vô ngăn mát tủ lạnh đến khi nào chiên cơm mới lấy ra. _ Mực làm sạch, rửa sạch, để ráo rồi cắt hạt lựu. _ Tôm bóc sạch vỏ, bỏ đầu đuôi, rút chỉ lưng, rửa sạch, để ráo rồi cắt hạt lựu. _ Đậu que bỏ đầu, tước sạch xơ 2 bên, rửa sạch, để ráo rồi cắt hạt lựu. _ Cà rốt bào sạch vỏ, rửa sạch, để ráo rồi cắt hạt lựu. _ Hành lá rửa sạch, cắt nhỏ. | Nấu sôi 0,5 lít nước rồi cho đậu que + cà rốt + bắp vô luộc cho chín tới rồi đổ ra rổ để ráo nước. | Cho vô chảo 1MC dầu ăn, bắc lên bếp, dầu nóng cho 1MC hành tím băm vô phi thơm rồi đổ tôm + mực vô xào cho săn lại trên lửa lớn. | Sau khi tôm, mực đã săn lại thì cho đậu que, cà rốt, bắp đã luộc vô, cho vô 1Mcf hạt nêm + 1Mcf nước mắm. Đảo đều rồi tắt bếp. | Lấy 1 cái chảo khác bắc lên bếp, cho vô 3MC dầu ăn, dầu nóng cho hành tím băm vô phi thơm rồi đổ cơm vô đảo trên lửa lớn cho đến khi hạt cơm săn lại và tơi ra. | Tiếp đỏ đổ phần hỗn hợp tôm mực vô chảo cơm, cho vô 1Mcf hạt nêm + 2MC nước mắm, đảo đều trên bếp cho đến khi thấy hạt cơm khô tơi là được. | Cho hành lá vô đảo đều, nêm nếm vị vừa ăn rồi tắt bếp | Múc cơm chiên hải sản ra đĩa, ăn nóng kèm với dưa leo và nước tương ớt cắt lát."
Mì tôm xào rau muống giò lụa,60 phút,4 người,Dễ,1 g mì tôm | 1 nắm rau muống | 1 khoanh giò lụa,"Rau muống nhặt lấy phần non,cắt khúc rửa sạch để ráo,giò lụa thái mỏng vừa ăn | Úp mì đến khi mì nở thì chắt hết nước,ngâm mì vào nước lạnh cho mì săn lại sau đó vớt mì ra rổ để ráo nước | Cho dầu ăn vào chảo,khi dầu nóng cho rau muống vào xào đến khi rau chín tới thì cho mì tôm và giò lụa vào đảo đều,thêm gói dầu và gói gia vị mì vào,nêm nếm vừa ăn,xào đến khi thấy mì hơi xém cạnh thì tắt bếp,múc mì ra đĩa rồi ăn nóng"
"Thịt hầm hành, tiêu xanh",1 tiếng.,4 người,Dễ,"500 g thịt nạc vai hoặc vai sấn | 2 củ hành , 1 nhánh tiêu xanh , gia vị","Thịt cắt miếng to bằng bao diêm, luộc sơ thịt rồi rửa sạch, để ráo. Ướp thịt với 1 thìa canh nước mắm, 1 thìa canh dầu hào, 1/3 thìa canh bột canh (hoặc hạt nêm), 2 củ hành khô đập dập, tiêu xanh chỉ lấy hạt đập dập. | Ướp thịt 30 phút rồi cho lên bếp nấu đến khi cạn nước thì chế nước sôi vào ngập mặt thịt. Đợi sôi lại thì để lửa liu riu tầm 20 phút hoặc cho đến khi thịt nhừ. | Khi thịt nhừ thì nêm nếm lại cho vừa miệng là xong."
SP.0811 - Thịt Thăn Heo Xào Bắp Cải Trắng,25p,2 người,Dễ,200 g thịt thăn heo | 1/2 bắp cải trắng | Tỏi băm nhuyễn | Gia vị,Thịt thăn heo rửa sạch xắt miếng vừa ăn. Tẩm ướp gia vị cho thấm. | Bắp cải tách lá rửa sạch rồi xắt từng đoạn dài. | Đun nóng dầu rồi phi tỏi cho thơm vàng. Cho thịt heo vào xào săn. | Thêm chút nước lọc cho thịt chín đều. | Cho bắp cải vào đảo đều cho chín. Nêm gia vị cho vừa ăn. Tắt bếp | Múc ra dĩa và rắc tiêu lên cho thơm.
Bún Bò Quảng Nam,2 giờ,6 phần ăn,Dễ,2 bắp bò (800gr) | 0.5 kg giò heo | 5 cây sả | 1 mcf mắm ruốc | Hạt màu điều | Húng lủi | Rau răm | Ớt sim xanh | Hành lá | Ngò | Mứt ớt Quảng Nam | Bún sợi trung,"Sơ chế bắp bò và giò heo: rửa sạch với dấm muối để ráo. Hành lá ngò xắt nhỏ. Sả đập dập. Mắm ruốc hoà với 1/2 chén nước nóng để lắng cặn. Chanh cắt miếng vừa ăn. | Cho sả, bắp bò, giò heo vào nồi áp suất thêm 1/2 mcf muối, hầm 20ph xả van. Phi dầu màu điều, bỏ hột, thêm vào nồi nước lèo. Mắm ruốc chắt nước bỏ cặn. Nấu sôi rồi nêm nếm thêm với xíu đường mặn ngọt vừa ăn. Thịt cắt mỏng. | Cho bún đã trụng vào tô. Thêm thịt, chan nước, thêm hành ngò. Ăn kèm rau răm, húng lủi, chanh ớt, mứt ớt."
Giò heo cuộn chiên giòn (món chay),60 phút,4 người,Dễ,"1 ổ bánh mì | 1 cây nấm đùi gà | 2 miếng sườn lát | Bột nêm ,tiêu,dầu hào, bột xù , bột năng ,nước tương...","Ổ bánh mì để qua đêm cho mềm chẻ đôi nhưng không đứt cho miếng bánh mì lớn.nấm đùi gà luộc chín,sườn lát ngâm nở mềm xả sạch vắt ráo.quậy chén bột năng lỏng hơn sệt một tí cho vào 1mcf bột nêm xíu tiêu.nhúng sườn lát vào nước bột cho lên bánh mì,nấm đùi gà chín để nguội thái tròn theo cây nấm để có miếng lớn áo lên bột mì khô cho lên sườn lát còn miếng sườn lát nhúng vào bột nước cho lên nấm đùi gà rồi dùng màng bọc thực phẩm cuộn lại | Cuộn nhiều lần để ổ bánh mì được dẻ rồi đem hấp khoảng 20 phút lấy ra để nguội.bột xù đem xay nhuyển cho ra cái dĩa,phần bột nước thêm vào 1mc bột chiên giòn thêm chút nước đem lăn ổ bánh mì vào bột sệt rồi lăn vào bột xù và chiên vàng.nhìn như giò heo cuộn và bây giờ cắt khoanh cho ra dĩa cùng rau sống.bắc chảo cho nước tương,đường,dầu hào tương ớt chút nước bắc lên nấu nêm vừa khẩu vị có thể chấm riêng hay rưới lên chân giò"
Thịt bò hầm kiểu Nhật,90-120 phút,4-6 người,Dễ,1 kg ba chỉ bò Mỹ | 1 khóm tỏi tươi | 4 muỗng canh xì dầu | 2 muỗng canh đường | 2 muỗng canh dầu mè | 1 chén con hành ngò băm nhỏ | 2 muỗng canh dầu ô liu | 200 ml nước lọc,"Tỏi bóc vỏ, băm nhỏ | Cắt 3 chỉ bò thành khúc ngắn. Cho tỏi vào chảo, cùng với dầu ô liu, để lửa vừa. Xào sơ chừng 30 giây thì cho thịt bò vào. Xào tới khi thấy thịt tai tái thì cho xì dầu, đường vào luôn | Cho tiếp dầu mè vào, đảo đều, cho thêm chừng 200ml nước lọc để hầm thịt trong vòng 30 phút. Nhớ để ý xem chừng cháy nhe! | Trong khi hầm thịt thì rửa sạch hành ngò, vẩy ráo nước, thái nhỏ. Khi thịt bò hầm xong thì rắc hành ngò lên trộn đều. | Món này ăn cùng cơm nóng là tuyệt vời!"
Mực khô chiên giòn,60 phút,4 người,Dễ,"Mực khô | Tỏi ,nước mắm,đường | Mè rang","Mực rửa sạch đem nướng dùng vật nặng nếu không có máy cán thì dùng chày giã cho mềm rồi xé sợi càng nhỏ càng tốt.bắc chảo cho dâu vào dầu nóng cho mực vào chiên cho giòn vàng vớt ra để ráo.phi tỏi thơm vớt ra rồi làm nước saue trộn gồm nước lọc 2mc,2mc đường,2mc nước mắm,nấu sôi nêm lại theo ý thích nấu sôi sệt lại cho mực vào trộn đều cho ra dĩa rắc mè lên"
Mâm cơm chay ngày Tết siêu đơn giản,60 phút,4 người,Dễ,Nguyên liệu xem trong từng món,Canh măng khô nấu nấm và táo đỏ. Tham khảo cách làm tại link | Đậu bắp xốt tương. Món này mình dùng nấm mỡ vì đang tiện nguyên liệu của món rau củ áp chảo | Salad cải kale | Khô cá dứa chay om rau răm | Đậu hũ Nhật xào sả ớt | Rau củ nấm áp chảo với lá hương thảo
Đậu hũ Nhật xào sả ớt,60 phút,4 người,Dễ,"Đậu hũ Nhật (có thể dùng đậu hũ thường thay thế) | Sả bằm | Ớt tươi | Nước tương , nước mắm chay, hạt nêm","Đậu Nhật cắt khúc cỡ ngón tay. Chiên vàng. Vớt ra đĩa cho ráo dầu. Nếu dùng đậu hũ thường thì nên chiên ngập dầu, chiên đậu hơi kỹ để có độ dai. | Cho sả vào chảo xào thơm. Cho đậu vào, nêm nước tương, nước mắm chay, ớt. Xóc đều vài phút rồi tắt bếp."
Khô cá dứa chay om rau răm,60 phút,4 người,Dễ,"Cá dứa chay | Rau răm , ớt tươi | Nước mắm chay , tiêu, hạt nêm chay , đường","Khô cá dứa cắt thành từng khúc nhỏ cỡ 2 ngón tay. Chiên vàng. | Cho nước mắm chay, hạt nêm, đường… vào nồi. Thêm xíu dầu ăn và xíu nước, nấu sôi lên. Cho rau răm lót dưới đáy nồi, xếp khô cá chay vừa chiên lên trên. Om nhỏ lửa 5-7’ sau đó tắt bếp. | Lưu ý: Cá dứa chay (các bạn có thể tự làm bằng cách dùng tàu hũ ky tươi nhồi thật nhuyễn, trộn với muối, tạo khối vuông dày 2cm, bọc lá rong biển ra ngoài, hấp sơ rồi phơi se se) Hoặc các bạn có thể tìm mua ở các tiệm Âu Lạc"
Rau củ áp chảo,60 phút,4 người,Dễ,"Cà rốt ( loại baby sẽ ngon và đẹp hơn) | Nấm mỡ | Bí đỏ bao tử | Đậu bắp | Lá hương thảo (1 nhánh cho 300gr rau củ ) | Muối, dầu ăn hoặc bơ lạt","Cà rốt baby để nguyên vỏ, rửa sạch Bí bao tử cũng để nguyên vỏ. Cắt khúc khoảng 3 ngón tay. | Cho bơ vào chảo. Rắc xíu muối vào lắc đều. Để lửa nhỏ. Cho nấm mỡ, cà rốt, bí vào áp chảo khoảng 10-12’ Lá hương thảo nên tách rời lá ra khỏi cành hoặc cắt từng khúc tầm 1,5cm. Cho vào áp chảo cùng rau củ. Cho đậu bắp vào tiếp tục áp chảo. Cuối cùng nếu bạn thích rau củ hơi xém có thể cho lửa lớn và áp chảo thêm 1 phút. Rau củ chín tới hay chín mềm tuỳ thuộc vào sở thích của bạn."
Mì xào Tomyum hải sản,60 phút,2 phần ăn,Dễ,"2 vắt mì gói | 200 g tôm đã lột vỏ | 2 mc sốt tomyum | 100 ml nước hoặc sữa | Rau cải tùy thích ( bó xôi , cải thìa ,...) | Dầu ăn , tỏi băm","Mì trụng chín để ráo nước. Tôm làm sạch. Rau rửa sạch cắt ngắn để xào. Sốt tomyum pha với ít nước nếu sốt quá đặc | Cho dầu ăn vào chảo nóng, phi thơm tỏi băm rồi cho tôm vào đảo cho tôm săn lại, nêm 1/2 sốt vào tôm, cho tiếp rau cải vào xào đến khi cải chín thì cho mì đã trụng cùng với 1/2 sốt còn lại vào, thêm vào 100ml nước hoặc sữa để có nước sốt sệt sệt, đảo nhanh cho mì nóng rồi tắt bếp. Nêm thêm hành ngò nếu thích."
Ngồng cải xào thịt gác bếp,60 phút,4 người,Dễ,"600 g Ngồng cải | 150 g Thịt gác bếp | Hạt nêm , mỳ chính , tỏi, dầu ăn","Ra vườn (hoặc chợ) mua ngồng cải về nhặt vỏ, lá vò nhẹ sau đó rửa sạch để ráo. Thịt gác bếp rửa sạch với nước nóng, sau đó thái mỏng. Tỏi bóc bỏ đập dập | Cho tỏi vào phi thơm, cho thịt gác bếp đảo nhanh tay, sau đó cho phần ngồng cải xào trước cho tới khi ngồng chuyển màu đậm cho nốt phần lá vào xào tầm 5 phút. | Nêm nếm gia vị vừa ăn sau đó cho ra đĩa. Lưu ý thịt gác bếp có thể có vị mặn nên khi xào nên cho thêm mỳ chính là được. Tuỳ khẩu vị gia đình."
